set,name,cost,gender,range,traits,icon
1,Lucian,2,0,3,"['Noble', 'Gunslinger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Lucian.png
1,Lulu,2,0,2,"['Yordle', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Lulu.png
1,Miss Fortune,5,0,3,"['Pirate', 'Gunslinger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/MissFortune.png
1,Mordekaiser,1,0,1,"['Phantom', 'Knight']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Mordekaiser.png
1,Morgana,3,0,2,"['Demon', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Morgana.png
1,Nidalee,1,0,3,"['Wild', 'Shapeshifter']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Nidalee.png
1,Pantheon,5,0,1,"['Dragon', 'Guardian']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Pantheon.png
1,Poppy,3,0,1,"['Yordle', 'Knight']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Poppy.png
1,Pyke,2,0,1,"['Pirate', 'Assassin']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Pyke.png
1,Rek Sai,2,0,1,"['Void', 'Brawler']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/RekSai.png
1,Rengar,3,0,1,"['Wild', 'Assassin']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Rengar.png
1,Sejuani,4,0,1,"['Glacial', 'Knight']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Sejuani.png
1,Shen,2,0,1,"['Ninja', 'Blademaster']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Shen.png
1,Shyvana,3,0,1,"['Dragon', 'Shapeshifter']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Shyvana.png
1,Swain,5,0,2,"['Demon', 'Imperial', 'Shapeshifter']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Swain.png
1,Tristana,1,0,4,"['Yordle', 'Gunslinger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Tristana.png
1,Twisted Fate,2,0,3,"['Pirate', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/TwistedFate.png
1,Varus,2,0,4,"['Demon', 'Ranger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Varus.png
1,Vayne,1,0,3,"['Noble', 'Ranger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Vayne.png
1,Veigar,3,0,3,"['Yordle', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Veigar.png
1,Vi,3,0,1,"['Hextech', 'Brawler']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Vi.png
1,Volibear,3,0,1,"['Glacial', 'Brawler']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Volibear.png
1,Warwick,1,0,1,"['Wild', 'Brawler']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Warwick.png
1,Yasuo,5,0,1,"['Exile', 'Blademaster']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Yasuo.png
1,Zed,2,0,1,"['Ninja', 'Assassin']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Zed.png
2,Aatrox,3,0,1,"['Light', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set2/aatrox.png
2,Amumu,5,0,1,"['Inferno', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/amumu.png
2,Annie,4,0,3,"['Inferno', 'Summoner']",//cdn.lolchess.gg/images/tft/champions/set2/annie.png
2,Ashe,4,0,4,"['Crystal', 'Ranger']",//cdn.lolchess.gg/images/tft/champions/set2/ashe.png
2,Azir,3,0,3,"['Desert', 'Summoner']",//cdn.lolchess.gg/images/tft/champions/set2/azir.png
2,Brand,4,0,3,"['Inferno', 'Mage']",//cdn.lolchess.gg/images/tft/champions/set2/brand.png
2,Braum,2,0,1,"['Glacial', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/braum.png
2,Diana,1,0,1,"['Inferno', 'Assassin']",//cdn.lolchess.gg/images/tft/champions/set2/diana.png
2,Dr Mundo,3,0,1,"['Poison', 'Berserker']",//cdn.lolchess.gg/images/tft/champions/set2/drmundo.png
2,Ezreal,3,0,3,"['Glacial', 'Ranger']",//cdn.lolchess.gg/images/tft/champions/set2/ezreal.png
2,Ivern,1,0,2,"['Forest', 'Druid']",//cdn.lolchess.gg/images/tft/champions/set2/ivern.png
2,Janna,4,0,3,"['Wind', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set2/janna.png
2,Jax,2,0,1,"['Light', 'Berserker']",//cdn.lolchess.gg/images/tft/champions/set2/jax.png
2,Karma,3,0,3,"['Lunar', 'Mystic']",//ddragon.leagueoflegends.com/cdn/10.22.1/img/champion/Karma.png
2,Khazix,4,0,1,"['Desert', 'Assassin']",//cdn.lolchess.gg/images/tft/champions/set2/khazix.png
2,Kindred,3,0,3,"['Inferno', 'Shadow', 'Ranger']",//cdn.lolchess.gg/images/tft/champions/set2/kindred.png
2,Kog Maw,1,0,4,"['Poison', 'Predator']",//cdn.lolchess.gg/images/tft/champions/set2/kogmaw.png
2,Leblanc,2,0,2,"['Forest', 'Assassin', 'Mage']",//cdn.lolchess.gg/images/tft/champions/set2/leblanc.png
2,Leona,1,0,1,"['Lunar', 'Warden']",//ddragon.leagueoflegends.com/cdn/10.22.1/img/champion/Leona.png
2,Lucian,4,0,3,"['Light', 'Soulbound']",//cdn.lolchess.gg/images/tft/champions/set2/lucian.png
2,Lux,7,0,4,"['Crystal', 'Electric', 'Forest', 'Glacial', 'Inferno', 'Light', 'Ocean', 'Shadow', 'Steel', 'Wind', 'Avatar']",//cdn.lolchess.gg/images/tft/champions/set2/lux.png
2,Malphite,4,0,1,"['Mountain', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/malphite.png
2,Malzahar,2,0,3,"['Shadow', 'Summoner']",//cdn.lolchess.gg/images/tft/champions/set2/malzahar.png
2,Maokai,1,0,1,"['Forest', 'Druid']",//cdn.lolchess.gg/images/tft/champions/set2/maokai.png
2,Master Yi,5,0,1,"['Shadow', 'Blademaster', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set2/masteryi.png
2,Nami,5,0,4,"['Ocean', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set2/nami.png
2,Nasus,1,0,1,"['Light', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/nasus.png
2,Nautilus,3,0,1,"['Ocean', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/nautilus.png
2,Neeko,2,0,3,"['Forest', 'Druid']",//cdn.lolchess.gg/images/tft/champions/set2/neeko.png
2,Nocturne,3,0,1,"['Steel', 'Assassin']",//cdn.lolchess.gg/images/tft/champions/set2/nocturne.png
2,Olaf,4,0,1,"['Glacial', 'Berserker']",//cdn.lolchess.gg/images/tft/champions/set2/olaf.png
2,Ornn,1,0,1,"['Electric', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/ornn.png
2,Qiyana,3,0,1,"['Inferno', 'Mountain', 'Ocean', 'Wind', 'Assassin']",//cdn.lolchess.gg/images/tft/champions/set2/qiyana.png
2,Rek Sai,2,0,1,"['Steel', 'Predator']",//cdn.lolchess.gg/images/tft/champions/set2/reksai.png
2,Renekton,1,0,1,"['Desert', 'Berserker']",//cdn.lolchess.gg/images/tft/champions/set2/renekton.png
2,Senna,2,0,4,"['Shadow', 'Soulbound']",//cdn.lolchess.gg/images/tft/champions/set2/senna.png
2,Singed,5,0,1,"['Poison', 'Alchemist']",//cdn.lolchess.gg/images/tft/champions/set2/singed.png
2,Sion,3,0,1,"['Shadow', 'Berserker']",//cdn.lolchess.gg/images/tft/champions/set2/sion.png
2,Sivir,3,0,3,"['Desert', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set2/sivir.png
2,Skarner,2,0,1,"['Crystal', 'Predator']",//cdn.lolchess.gg/images/tft/champions/set2/skarner.png
2,Soraka,3,0,3,"['Light', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set2/soraka.png
2,Syndra,2,0,3,"['Ocean', 'Mage']",//cdn.lolchess.gg/images/tft/champions/set2/syndra.png
2,Taliyah,1,0,3,"['Mountain', 'Mage']",//cdn.lolchess.gg/images/tft/champions/set2/taliyah.png
2,Taric,5,0,1,"['Crystal', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/taric.png
2,Thresh,2,0,2,"['Ocean', 'Warden']",//cdn.lolchess.gg/images/tft/champions/set2/thresh.png
2,Twitch,4,0,4,"['Poison', 'Ranger']",//cdn.lolchess.gg/images/tft/champions/set2/twitch.png
2,Varus,2,0,4,"['Inferno', 'Ranger']",//cdn.lolchess.gg/images/tft/champions/set2/varus.png
2,Vayne,1,0,3,"['Light', 'Ranger']",//cdn.lolchess.gg/images/tft/champions/set2/vayne.png
2,Veigar,3,0,3,"['Shadow', 'Mage']",//cdn.lolchess.gg/images/tft/champions/set2/veigar.png
2,Vladimir,1,0,2,"['Ocean', 'Mage']",//cdn.lolchess.gg/images/tft/champions/set2/vladimir.png
2,Volibear,2,0,1,"['Electric', 'Glacial', 'Berserker']",//cdn.lolchess.gg/images/tft/champions/set2/volibear.png
2,Warwick,1,0,1,"['Glacial', 'Predator']",//cdn.lolchess.gg/images/tft/champions/set2/warwick.png
2,Yasuo,2,0,1,"['Wind', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set2/yasuo.png
2,Yorick,4,0,1,"['Light', 'Summoner']",//cdn.lolchess.gg/images/tft/champions/set2/yorick.png
2,Zed,5,0,1,"['Electric', 'Assassin', 'Summoner']",//cdn.lolchess.gg/images/tft/champions/set2/zed.png
2,Zyra,1,0,3,"['Inferno', 'Summoner']",//cdn.lolchess.gg/images/tft/champions/set2/zyra.png
3,Ahri,2,0,3,"['Star Guardian', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/ahri.png
3,Annie,2,0,2,"['Mech Pilot', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/annie.png
3,Ashe,3,0,5,"['Celestial', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/ashe.png
3,Aurelion Sol,5,0,1,"['Rebel', 'Starship']",//cdn.lolchess.gg/images/tft/champions/set3/aurelionsol.png
3,Blitzcrank,2,0,1,"['Chrono', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/blitzcrank.png
3,Caitlyn,1,0,5,"['Chrono', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/caitlyn.png
3,Chogath,4,0,1,"['Void', 'Brawler']",//ddragon.leagueoflegends.com/cdn/10.22.1/img/champion/Chogath.png
3,Darius,2,0,1,"['Space Pirate', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/darius.png
3,Ekko,5,0,1,"['Cybernetic', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/ekko.png
3,Ezreal,3,0,3,"['Chrono', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/ezreal.png
3,Fiora,1,0,1,"['Cybernetic', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/fiora.png
3,Fizz,4,0,1,"['Mech Pilot', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/fizz.png
3,Gangplank,5,0,1,"['Space Pirate', 'Demolitionist', 'Mercenary']",//cdn.lolchess.gg/images/tft/champions/set3/gangplank.png
3,Graves,1,0,1,"['Space Pirate', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/graves.png
3,Irelia,4,0,1,"['Cybernetic', 'Blademaster', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/irelia.png
3,Jarvan I V,1,0,1,"['Dark Star', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/jarvaniv.png
3,Jayce,3,0,1,"['Space Pirate', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/jayce.png
3,Jhin,4,0,5,"['Dark Star', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/jhin.png
3,Jinx,4,0,3,"['Rebel', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/jinx.png
3,Kaisa,2,0,2,"['Valkyrie', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/kaisa.png
3,Karma,3,0,3,"['Dark Star', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/karma.png
3,Kassadin,3,0,1,"['Celestial', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/kassadin.png
3,Kayle,4,0,3,"['Valkyrie', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/kayle.png
3,Kha Zix,1,0,1,"['Void', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/khazix.png
3,Leona,1,0,1,"['Cybernetic', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/leona.png
3,Lucian,2,0,4,"['Cybernetic', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/lucian.png
3,Lulu,5,0,3,"['Celestial', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/lulu.png
3,Lux,3,0,4,"['Dark Star', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/lux.png
3,Malphite,1,0,1,"['Rebel', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/malphite.png
3,Master Yi,3,0,1,"['Rebel', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/masteryi.png
3,Miss Fortune,5,0,4,"['Valkyrie', 'Mercenary', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/missfortune.png
3,Monkey King,4,0,1,"['Chrono', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/monkeyking.png
3,Mordekaiser,2,0,1,"['Dark Star', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/mordekaiser.png
3,Neeko,3,0,2,"['Star Guardian', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/neeko.png
3,Poppy,1,0,1,"['Star Guardian', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/poppy.png
3,Rakan,2,0,2,"['Celestial', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/rakan.png
3,Rumble,3,0,1,"['Mech Pilot', 'Demolitionist']",//cdn.lolchess.gg/images/tft/champions/set3/rumble.png
3,Shaco,3,0,1,"['Dark Star', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/shaco.png
3,Shen,2,0,1,"['Chrono', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/shen.png
3,Sona,2,0,3,"['Rebel', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/sona.png
3,Soraka,4,0,3,"['Star Guardian', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/soraka.png
3,Syndra,3,0,4,"['Star Guardian', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/syndra.png
3,Thresh,5,0,2,"['Chrono', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/thresh.png
3,Twisted Fate,1,0,3,"['Chrono', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/twistedfate.png
3,Velkoz,4,0,4,"['Void', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/velkoz.png
3,Vi,3,0,1,"['Cybernetic', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/vi.png
3,Xayah,1,0,3,"['Celestial', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/xayah.png
3,Xerath,5,0,5,"['Dark Star', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/xerath.png
3,Xin Zhao,2,0,1,"['Celestial', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/xinzhao.png
3,Yasuo,2,0,1,"['Rebel', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/yasuo.png
3,Ziggs,1,0,3,"['Rebel', 'Demolitionist']",//cdn.lolchess.gg/images/tft/champions/set3/ziggs.png
3,Zoe,1,0,3,"['Star Guardian', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/zoe.png
3.5,Ahri,2,0,3,"['Star Guardian', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/ahri.png
3.5,Annie,2,0,2,"['Mech Pilot', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/annie.png
3.5,Ashe,3,0,5,"['Celestial', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/ashe.png
3.5,Aurelion Sol,5,0,1,"['Rebel', 'Starship']",//cdn.lolchess.gg/images/tft/champions/set3/aurelionsol.png
3.5,Bard,3,0,3,"['Astro', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/bard.png
3.5,Blitzcrank,2,0,1,"['Chrono', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/blitzcrank.png
3.5,Caitlyn,1,0,5,"['Chrono', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/caitlyn.png
3.5,Cassiopeia,3,0,2,"['Battlecast', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/cassiopeia.png
3.5,Chogath,4,0,1,"['Void', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/chogath.png
3.5,Darius,2,0,1,"['Space Pirate', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/darius.png
3.5,Ekko,5,0,1,"['Cybernetic', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/ekko.png
3.5,Ezreal,3,0,3,"['Chrono', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/ezreal.png
3.5,Fiora,1,0,1,"['Cybernetic', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/fiora.png
3.5,Fizz,4,0,1,"['Mech Pilot', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/fizz.png
3.5,Gangplank,5,0,1,"['Space Pirate', 'Demolitionist', 'Mercenary']",//cdn.lolchess.gg/images/tft/champions/set3/gangplank.png
3.5,Gnar,4,0,2,"['Astro', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/gnar.png
3.5,Graves,1,0,1,"['Space Pirate', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/graves.png
3.5,Illaoi,1,0,1,"['Battlecast', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/illaoi.png
3.5,Irelia,4,0,1,"['Cybernetic', 'Blademaster', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/irelia.png
3.5,Janna,5,0,4,"['Star Guardian', 'Paragon']",//cdn.lolchess.gg/images/tft/champions/set3/janna.png
3.5,Jarvan I V,1,0,1,"['Dark Star', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/jarvaniv.png
3.5,Jayce,3,0,1,"['Space Pirate', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/jayce.png
3.5,Jhin,4,0,5,"['Dark Star', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/jhin.png
3.5,Jinx,4,0,3,"['Rebel', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/jinx.png
3.5,Kaisa,2,0,2,"['Valkyrie', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/kaisa.png
3.5,Karma,3,0,3,"['Dark Star', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/karma.png
3.5,Kassadin,3,0,1,"['Celestial', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/kassadin.png
3.5,Kayle,4,0,3,"['Valkyrie', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/kayle.png
3.5,Kha Zix,1,0,1,"['Void', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/khazix.png
3.5,Kog Maw,2,0,3,"['Battlecast', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/kogmaw.png
3.5,Leona,1,0,1,"['Cybernetic', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/leona.png
3.5,Lucian,2,0,4,"['Cybernetic', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/lucian.png
3.5,Lulu,5,0,3,"['Celestial', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/lulu.png
3.5,Lux,3,0,4,"['Dark Star', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/lux.png
3.5,Malphite,1,0,1,"['Rebel', 'Brawler']",//cdn.lolchess.gg/images/tft/champions/set3/malphite.png
3.5,Master Yi,3,0,1,"['Rebel', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/masteryi.png
3.5,Miss Fortune,5,0,4,"['Valkyrie', 'Mercenary', 'Blaster']",//cdn.lolchess.gg/images/tft/champions/set3/missfortune.png
3.5,Monkey King,4,0,1,"['Chrono', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/monkeyking.png
3.5,Mordekaiser,2,0,1,"['Dark Star', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/mordekaiser.png
3.5,Nautilus,2,0,1,"['Astro', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/nautilus.png
3.5,Neeko,3,0,2,"['Star Guardian', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/neeko.png
3.5,Nocturne,1,0,1,"['Battlecast', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/nocturne.png
3.5,Poppy,1,0,1,"['Star Guardian', 'Vanguard']",//cdn.lolchess.gg/images/tft/champions/set3/poppy.png
3.5,Rakan,2,0,2,"['Celestial', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/rakan.png
3.5,Riven,4,0,1,"['Chrono', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/riven.png
3.5,Rumble,3,0,1,"['Mech Pilot', 'Demolitionist']",//cdn.lolchess.gg/images/tft/champions/set3/rumble.png
3.5,Shaco,3,0,1,"['Dark Star', 'Infiltrator']",//cdn.lolchess.gg/images/tft/champions/set3/shaco.png
3.5,Shen,2,0,1,"['Chrono', 'Blademaster']",//cdn.lolchess.gg/images/tft/champions/set3/shen.png
3.5,Sona,2,0,3,"['Rebel', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/sona.png
3.5,Soraka,4,0,3,"['Star Guardian', 'Mystic']",//cdn.lolchess.gg/images/tft/champions/set3/soraka.png
3.5,Syndra,3,0,4,"['Star Guardian', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/syndra.png
3.5,Teemo,4,0,5,"['Astro', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/teemo.png
3.5,Thresh,5,0,2,"['Chrono', 'Mana Reaver']",//cdn.lolchess.gg/images/tft/champions/set3/thresh.png
3.5,Twisted Fate,1,0,3,"['Chrono', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/twistedfate.png
3.5,Urgot,5,0,2,"['Battlecast', 'Protector']",//cdn.lolchess.gg/images/tft/champions/set3/urgot.png
3.5,Vayne,3,0,5,"['Cybernetic', 'Sniper']",//cdn.lolchess.gg/images/tft/champions/set3/vayne.png
3.5,Velkoz,4,0,4,"['Void', 'Sorcerer']",//cdn.lolchess.gg/images/tft/champions/set3/velkoz.png
